feature,importance
szn_strikeouts,0.086572364
roll_strikeouts_7g,0.032773
roll_strikeouts_15g,0.022741944
szn_whiff_rate,0.019056587
szn_k_per_bf,0.018681504
szn_avg_effective_speed,0.01724014
szn_swstr_rate,0.013764913
roll_avg_effective_speed_3g,0.011189885
szn_max_velocity,0.011095301
szn_total_pitches,0.010682575
roll_avg_effective_speed_7g,0.010106258
opp_team_k_rate_15g,0.009714957
roll_total_pitches_7g,0.009322142
szn_avg_pfx_x,0.009167911
roll_total_pitches_15g,0.009087467
roll_max_velocity_15g,0.008782604
roll_pct_offspeed_15g,0.008475417
szn_avg_arm_angle,0.008357882
szn_avg_extension,0.008260387
roll_total_pitches_3g,0.008171546
roll_avg_pfx_z_7g,0.008156611
szn_csw_rate,0.008113739
opp_team_whiff_rate_15g,0.008065625
szn_fb_velo,0.007851189
szn_pct_offspeed,0.0077735246
roll_avg_api_break_z_7g,0.007554098
roll_pct_breaking_15g,0.007545702
roll_avg_arm_angle_7g,0.007372765
szn_std_plate_x,0.0073211864
roll_swstr_rate_15g,0.007316485
szn_avg_spin_rate,0.0073153446
roll_swstr_rate_7g,0.007194473
roll_avg_arm_angle_15g,0.0071556373
roll_avg_api_break_z_3g,0.007108409
roll_max_inning_15g,0.007080742
roll_avg_arm_angle_3g,0.007071627
szn_avg_api_break_x_arm,0.007068374
roll_max_velocity_7g,0.007021303
roll_whiff_rate_15g,0.0070031253
pitcher_rest_days,0.006937931
diff_brk_fb_pfx_x,0.006932711
roll_avg_api_break_x_arm_15g,0.006915474
roll_avg_effective_speed_15g,0.006898139
szn_pct_breaking,0.006787812
roll_avg_extension_15g,0.0067495066
szn_avg_api_break_z,0.0067040813
roll_whiff_rate_7g,0.0066887583
roll_avg_extension_7g,0.006657698
roll_avg_velocity_3g,0.006612321
roll_pct_breaking_7g,0.006599021
roll_avg_pfx_x_15g,0.0065495283
szn_max_inning,0.0065081655
roll_avg_extension_3g,0.006503064
roll_avg_pfx_z_15g,0.0064780484
diff_off_fb_pfx_z,0.0064626536
roll_avg_plate_x_abs_7g,0.0064514116
roll_batters_faced_15g,0.006341586
szn_fb_spin,0.0063386913
roll_avg_velocity_7g,0.006284421
roll_k_per_bf_3g,0.006281079
roll_avg_api_break_x_arm_7g,0.0062775547
szn_chase_rate,0.006269413
szn_batters_faced,0.0062523303
trend_csw_rate,0.0061877067
roll_pct_offspeed_3g,0.00617819
roll_csw_rate_7g,0.006157852
roll_pct_offspeed_7g,0.0061128093
roll_pct_fastball_3g,0.006103784
roll_std_plate_x_15g,0.006100226
roll_batters_faced_7g,0.0060778703
diff_brk_fb_pfx_z,0.0060033128
roll_avg_spin_rate_15g,0.005997958
roll_zone_contact_rate_15g,0.0059480267
roll_velo_spread_7g,0.005887203
trend_avg_velocity,0.005847243
szn_avg_pfx_z,0.00584442
roll_avg_api_break_z_15g,0.005838639
roll_std_plate_x_3g,0.005821425
roll_std_plate_z_15g,0.00578543
roll_csw_rate_15g,0.005779818
roll_chase_rate_7g,0.0057394123
diff_off_fb_pfx_x,0.005737362
szn_pct_fastball,0.005729414
roll_pct_fastball_7g,0.005723693
szn_std_plate_z,0.005688477
szn_fb_pfx_x,0.005686923
roll_k_per_bf_15g,0.005622827
roll_avg_velocity_15g,0.0055775237
roll_avg_plate_x_abs_15g,0.005565549
roll_std_plate_x_7g,0.0055300533
diff_brk_fb_velo,0.005514966
szn_fb_pfx_z,0.0054868287
roll_avg_api_break_x_arm_3g,0.005483478
roll_avg_plate_x_abs_3g,0.005442777
szn_avg_velocity,0.0054280283
roll_std_plate_z_7g,0.0054123253
roll_batters_faced_3g,0.005409806
roll_avg_plate_z_norm_7g,0.0054093823
roll_chase_rate_15g,0.005338412
opp_team_avg_bat_speed_15g,0.0053095114
roll_k_per_bf_7g,0.0053010755
roll_max_inning_3g,0.005286485
roll_zone_rate_15g,0.005243236
roll_avg_pfx_x_3g,0.0051983926
diff_off_fb_velo,0.005193703
roll_zone_contact_rate_7g,0.0051728757
opp_team_avg_swing_length_15g,0.005156914
szn_avg_plate_x_abs,0.0051390002
roll_pct_breaking_3g,0.005128639
trend_strikeouts,0.0051203556
roll_avg_pfx_z_3g,0.0051167984
roll_std_plate_z_3g,0.0050374204
szn_zone_rate,0.005016456
roll_max_inning_7g,0.005014113
roll_pct_fastball_15g,0.004940833
szn_avg_plate_z_norm,0.00491955
roll_avg_plate_z_norm_15g,0.004915821
roll_zone_rate_7g,0.004869539
trend_whiff_rate,0.0048679262
roll_avg_pfx_x_7g,0.0048519433
roll_swstr_rate_3g,0.004737842
roll_avg_plate_z_norm_3g,0.004717627
szn_zone_contact_rate,0.0046710707
roll_max_velocity_3g,0.004668677
roll_zone_contact_rate_3g,0.004521838
roll_csw_rate_3g,0.0044736546
season_game_num,0.004466776
roll_zone_rate_3g,0.0043954873
roll_avg_spin_rate_7g,0.0043014335
roll_avg_spin_rate_3g,0.00366634
roll_chase_rate_3g,0.0036142373
roll_whiff_rate_3g,0.0032111378
roll_strikeouts_3g,0.0027379922
szn_fb_vaa,0.0
szn_avg_vaa,0.0
roll_avg_vaa_3g,0.0
roll_avg_vaa_15g,0.0
is_right_handed,0.0
roll_avg_vaa_7g,0.0
